Sr.No.,Course,Job profession,Student,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,s/p,P1,P2,P3,P4,P5,P6,P7,P8
1,,"Astronomer
",S1,11,5,12,16,17,11,18,19,s1,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S2,12,6,12,16,16,11,18,19,s2,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S3,13,7,12,16,15,11,18,19,s3,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S4,14,8,12,16,19,11,18,19,s4,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S5,13,9,12,16,20,11,19,19,s5,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S6,12,8,12,16,17,11,19,19,s6,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S7,11,7,12,16,16,11,19,19,s7,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S8,14,6,12,16,15,11,19,19,s8,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S9,11,5,12,16,19,11,19,19,s9,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S10,12,5,13,16,20,12,19,19,s10,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S11,13,6,13,16,17,12,19,19,s11,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S12,14,7,13,16,16,12,19,19,s12,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S13,13,8,13,17,15,12,19,19,s13,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S14,12,9,13,17,19,12,19,19,s14,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S15,11,8,13,17,20,12,19,18,s15,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S16,14,7,13,17,15,12,19,18,s16,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S17,11,6,13,17,15,12,20,18,s17,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S18,12,5,13,18,16,12,20,18,s18,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S19,13,5,13,18,16,12,20,18,s19,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S20,14,6,14,18,17,13,20,18,s20,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S21,13,7,14,18,16,13,20,18,s21,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S22,12,8,14,18,15,13,16,18,s22,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S23,11,9,14,18,19,13,16,18,s23,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S24,14,8,14,18,20,13,16,18,s24,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S25,11,7,14,18,16,13,16,19,s25,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S26,12,6,14,19,16,13,16,20,s26,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S27,13,5,14,19,17,13,16,20,s27,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S28,14,5,14,19,17,13,16,20,s28,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S29,13,5,14,19,16,13,16,20,s29,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S30,12,6,14,19,15,13,16,20,s30,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S31,11,7,14,19,19,13,16,20,s31,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S32,14,8,14,19,20,13,16,20,s32,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S33,11,9,14,19,17,13,16,20,s33,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S34,12,8,14,19,17,13,16,20,s34,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S35,13,7,11,19,17,13,16,20,s35,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S36,14,6,11,19,16,13,16,20,s36,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S37,13,5,11,20,15,13,16,20,s37,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S38,12,8,11,20,19,12,16,20,s38,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S39,11,5,11,20,20,12,16,20,s39,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S40,14,6,11,20,17,12,16,20,s40,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S41,11,7,11,20,17,12,17,15,s41,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S42,12,8,11,20,18,12,17,15,s42,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S43,13,9,11,20,17,12,17,15,s43,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S44,14,8,11,20,16,12,17,15,s44,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S45,13,7,12,20,15,11,17,15,s45,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S46,12,6,12,20,19,11,17,15,s46,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S47,11,5,12,20,20,11,17,15,s47,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S48,14,9,12,20,18,11,17,15,s48,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S49,11,7,12,20,18,11,17,15,s49,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
,,"Astronomer
",S50,12,9,12,20,18,11,17,15,s50,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST
2,,Geologist,S51,11,8,17,19,13,6,12,20,s51,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S52,12,5,16,19,14,7,12,20,s52,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S53,13,6,15,19,13,8,12,20,s53,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S54,14,7,19,19,12,9,12,20,s54,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S55,13,8,20,19,11,8,12,20,s55,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S56,12,9,17,19,14,5,12,20,s56,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S57,11,8,17,19,11,6,12,20,s57,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S58,14,5,18,19,12,7,12,20,s58,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S59,11,6,17,19,13,8,12,20,s59,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S60,12,7,17,19,13,9,12,20,s60,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S61,13,8,16,19,14,8,13,20,s61,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S62,14,9,15,15,13,5,13,20,s62,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S63,13,8,19,15,12,6,13,20,s63,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S64,12,5,20,15,11,7,13,20,s64,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S65,11,6,17,15,14,8,13,20,s65,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S66,14,7,17,15,11,9,13,20,s66,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
,,Geologist,S67,11,8,18,15,12,8,13,20,s67,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST
