NNLDESC,ClusterTitle,PathTitle,SOCTITLE,SOCCODE,EntryWage,MeanWage,Skills Required
NOW,Advanced Manufacturing,Business Operations & Sales,Customer Service Representatives,43-4051,25850,34530,"Communication, Active Listening, Problem-Solving, Computer Literacy"
NOW,Advanced Manufacturing,Business Operations & Sales,Receptionists and Information Clerks,43-4171,21040,26600,"Customer Service, Organization, Multitasking, Phone Etiquette"
NOW,Advanced Manufacturing,Business Operations & Sales,"Office Clerks, General",43-9061,22440,31640,"Data Entry, Organization, Time Management, Attention to Detail"
NEXT,Advanced Manufacturing,Business Operations & Sales,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660,71560,"Leadership, Sales Strategy, Coaching, Negotiation"
NEXT,Advanced Manufacturing,Business Operations & Sales,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230,56110,"Leadership, Workflow Management, Problem-Solving, Team Coordination"
NEXT,Advanced Manufacturing,Business Operations & Sales,Executive Secretaries and Executive Administrative Assistants,43-6011,44750,57460," Calendar Management, Confidentiality, Written Communication, Project Coordination"
LATER,Advanced Manufacturing,Business Operations & Sales,General and Operations Managers,11-1021,57360,106730,"Strategic Planning, Financial Management, Leadership, Decision-Making"
LATER,Advanced Manufacturing,Business Operations & Sales,Sales Managers,Nov-22,76040,133120,"Sales Strategy, Team Leadership, Market Analysis, Customer Relationship Management (CRM)"
LATER,Advanced Manufacturing,Business Operations & Sales,"Sales Rep., Wholesale & Manufacturing, Technical & Scientific Products",41-4011,54250,84320,"Technical Sales, Negotiation, Relationship Management, Industry Knowledge"
NEXT,Advanced Manufacturing,Engineering and Maintenance,Electrical and Electronics Drafters,17-3012,43610,55370,"CAD Software, Technical Drawing, Electrical Schematics, Attention to Detail  "
NEXT,Advanced Manufacturing,Engineering and Maintenance,Mechanical Drafters,17-3013,39640,51900,"CAD Software, Mechanical Design, Blueprint Reading, Technical Drawing  "
NEXT,Advanced Manufacturing,Engineering and Maintenance,Civil Engineering Technicians,17-3022,39480,51060,"AutoCAD, Surveying, Construction Materials, Problem-Solving  "
NEXT,Advanced Manufacturing,Engineering and Maintenance,Electrical and Electronic Engineering Technicians,17-3023,49320,62330,"Circuit Analysis, Troubleshooting, Testing Equipment, Electrical Systems  "
NEXT,Advanced Manufacturing,Engineering and Maintenance,Industrial Engineering Technicians,17-3026,42650,61840,"Process Improvement, Data Analysis, Quality Control, Manufacturing Systems  "
